,cell_type,marker,tissue
2339,Eosinophil,"CD11b,CD15,CD16,CD193,CD66b,SIGLEC8",Peripheral blood
2340,Epidermal stem cell,"CD200,CD34,CD49f,Nestin,MCSP,P63,TenascinC,YAP1",Skin
2341,Epithelial cell,"CD103,CD106,CD126,CD13,CD130,CD141,CD1d,CD24,CD324,iNOS",Skin
2342,Epithelial cell,"CD103,CD106,CD126,CD13,CD130,CD141,CD1d,CD24,CD324,iNOS",Undefined
2343,Epithelial cell,"CD103,CD106,CD126,CD13,CD130,CD141,CD1d,CD24,CD324,iNOS",Lung
2344,Epithelial cell,"CD103,CD106,CD126,CD13,CD130,CD141,CD1d,CD24,CD324,iNOS",Airway epithelium
2345,Epithelial cell,"Adhesionmolecules,LFA1,AdhesionmoleculesLFA2,CD227,E-cadherin,EMA,EpithelialSodiumChannelsalpha,EpithelialSodiumChannelsbeta,EpithelialSodiumChannelsgamma,EpithelialSodiumChannelsdelta,FcpartoftheIgG,ICAM1,Keratin-1,Keratin-10,Keratin-14,Keratin-15,Keratin-16,Keratin-18,Keratin-2,Keratin-3,Keratin-5,Keratin-6,Keratin-7,Keratin-8,MUC1,Prostatespecificantigen,SurfactantproteinA,SurfactantproteinB,SurfactantproteinC,SurfactantproteinD,Survivin,VLA2,VLA3,VLA4,VLA5,VLA6",Undefined
2346,Epithelial cell,"CD104,CD121a,CD133,CD167,CD24,CD326,CD44R,CD49f,CD66a,CD75,Cytokeratin",Undefined
2347,Epithelial cell,"CD104,CD121a,CD133,CD167a,CD24,CD326,CD49f,CD66a,CD75,Cytokeratin,MHCclassII",Undefined
2348,Red blood cell (erythrocyte),"CD235a,CD24,CD45,Ter119",Blood
2349,Red blood cell (erythrocyte),CD235a,Undefined
2350,Red blood cell (erythrocyte),"CD235a,CD45,CD51,CD61",Undefined
2351,Exhausted T cell,"CD152,CD160,CD223,CD244,CD272,CD278,CD279,CD3,CD366,CD4,CD8,CD96,EOMES,TIGIT,VISTA",Undefined
2352,Fibroblast,"CD10,CD121a,CD29,CD47,CD81,CD91",Undefined
2353,Fibroblast,"CD10,CD121a,CD140a,CD140b,CD29,CD47,CD81,CD91,Vimentin",Undefined
2354,Follicular B cell,"B220,BCL6,CD137,CD20,CD21,CD22,CD23,CD24,CD27,CD275,CD279,CD360,CD40,CD69,CD80,CD81,CD86,EBF1,FOXO1,HLA-DR,IgD,IgM,IKAROS,PAX5",Undefined
2355,GABAergic neuron,"GABABreceptor2,GABABreceptor1,GABAtransporter1,GAD65,GAD67",Undefined
2356,Germ cell,"AP2-gamma,DAZL1,EGFR,GP90-MC301,M2A,MAGE-A4,OCT3/4,RBM,Tesmin,TEX101,VASA,ZAR1",Undefined
2357,Germ cell,"PRDM1,CD117,ESGP,FABP9,GAPDH2,NR6A1,KLF17,MEA1,Musashi-1,PIWIL1,PIWIL2,PIWIL4,SCARA5,TDRD1,TDRKH,TEX19,TEX19.1,TRA-1-60(R),TRA-1-81,VASA,TEX11",Undefined
2358,Germinal center B cell,"AID,BACH2,BCL6,B220,CD81,IRF8,NF-kappa-B,PAX5",Undefined
2359,Glial cell,"3A7,3CB2,A2B5,BLBP,CD11b,CD14,CD45,CD68,FGFR3,GFAP,MHCclassI,MHCclassII,MBP,Myelinproteinzero,Neurofilamentprotein,platelet-derivedgrowthfactor(PDGF)receptor,S100,Ran2,S22,Vimentin",Undefined
2360,Glutamatergic neuron,"Glutaminase,Glutaminesynthetase,NMDAR1,NMDAR2B,VGLUT1,VGLUT2",Undefined
2361,Granulocyte,"CD11b,CD13,CD15,CD32,CD33",Undefined
2362,Granulocyte-monocyte progenitor,"CD10,CD123,CD135,CD34,CD38,CD45RA",Undefined
2363,Granulosa cell,"CD146,CACNA1F,Fibronectin,Follicleregulatoryprotein",Undefined
2364,Granulocyte-monocyte progenitor,"CD123,CD34,CD38,CD45RA",Germ
2365,Hemangioblast,"CD133,CD143,CD144,CD202b,CD309,CD31,CD324,CD34,EPHB4,Podocalyxin",Germ
2366,Hematopoietic stem cell,"BMI1,c-Myc,CD105,CD106,CD117,CD127,CD150,CD31,CD33,CD34,CD38,CD41,CD44,CD45,CD48,CD90,EPCR,GFI1,SCA-1,MCL1,MYB,PTEN,SCF,STAT5a,STAT5b,VEGFR-2",Bone marrow
2367,Hematopoietic stem cell,"ABCG2,ALDH1A1,BMI1,CD105,CD106,CD117,CD133,CD150,CD244,CD34,CD38,CD44,CD45,CD48,CD49f,CD90,CD93,CDCP1,CXCR4,EPCR,Erythropoietinreceptor,ESAM,EVI1,FLK1,FLK2,FLT3,GATA2,GFI1,MCL1,MYB,PLZF,Podocalyxin,Prominin2,PTEN,SCA-1,SPI1,Spi-B,STAT5a,STAT5b",Bone marrow
2368,Hematopoietic stem cell,"ABCG2,ALDH1A1,BMI1,CD105,CD106,CD117,CD133,CD150,CD244,CD34,CD38,CD44,CD45,CD45.1,CD45.2,CD48,CD49f,CD90,CD93,CDCP1,CXCR4,EPCR,Erythropoietinreceptor,ESAM,EVI1,FLK1,FLK2,FLT3,GATA2,GFI1,MCL1,MYB,PLZF,Podocalyxin,Prominin2,PTEN,SCA-1,SPI1,Spi-B,STAT5a,STAT5b",Blood
2369,Hematopoietic stem cell,"CD105,CD110,CD111,CD117,CD133,CD135,CD150,CD184,CD202b,CD243,CD271,CD309,CD338,CD34,CD90,CD93,SCA-1",Bone marrow
2370,Hematopoietic stem cell,"CD105,CD106,CD117,CD133,CD164,CD184,CD202b,CD338,CD34,CD38,CD90,FLK-1,NOTCH1",Germ
2371,Hematopoietic stem cell,"CD34,CD38,CD45RA,CD49,CD90",Undefined
2372,IgG memory B cell,"CD19,CD27,IgD,IgG",Undefined
2373,Immature neuron,"betaIIItubulin,Doublecortin,NeuroD1,Stathmin1,TBR1",Undefined
2374,Induced pluripotent stem cell,"CD49f,KLF4,LIN28,NANOG,OCT4,SOX2",Undefined
2375,Induced pluripotent stem cell,"NANOG,OCT3/4,SOX2",Undefined
2376,Induced regulatory T (Treg) cell,"CD127,CD25,CD4",Peripheral blood
2377,Intermediate progenitor cell,"ASCL1,TBR2",Undefined
2378,Intestinal stem cell,"ALK3,ASCL2,BMI1,CD166,CD24,DCLK1,EPHB2,LGR5,Musashi-1,SOX9,TelomeraseInhibitors",Small intestine
2379,Mesoderm cell,"CD10,CD105,CD106,CD13,CD14,CD15,CD29,CD31,CD44,CD49d,CD49f,CD5,CD54,CD71,CD72,CD73,CD90,STRO-1",Germ
2380,Lymphoid cell,"CD10,CD103,CD117,CD11b,CD11c,CD122,CD127,CD159a,CD16,CD160,CD161,CD178,CD183,CD194,CD196,CD212,CD217,CD218a,CD229,CD244,CD27,CD314,CD319,CD335,CD336,CD337,CD34,CD38,CD4,CD43,CD45,CD45RA,CD49d,CD56,CD57,CD62L,CD68,CD69,CD7,CD8,CD81,CD94,CXCR3,FLT3,GranzymeA,GranzymeB,IL-21R,KLRG1,RORgammaT,ST2,ZAP70",Undefined
2381,M1 macrophage,"CD16,CD32,CD369,CD64,CD68,CD80,CD86,IRF5,MerTK,MHCclassII,STAT1",Undefined
2382,M2 macrophage,"CD115,CD163,CD204,CD206,CD209,Fc-epsilonRI-alpha,IRF4,STAT6,VSIG4",Undefined
2383,Macrophage,"CD105,CD107b,CD115,CD11a,CD11b,CD11c,CD14,CD15,CD16,CD32,CD163,CD195,CD282,CD284,CD33,CD64,CD68,CD80,CD85k,CD86,F4/80,GITRL,HLA-DR,Mac-2,MHCClassII",Undefined
2384,Macrophage,"CD11b,CD163,CD68",Undefined
2385,Macrophage,"CD105,CD115,CD11b,CD15,CD169,CD195,CD282,CD284,CD33,CD354,CD40,CD63,CD68,CD80,CD85,CD86,CXCL10,CXCL11,CXCL2,CXCL9,GPNMB",Undefined
