,cell_type,marker,tissue
2757,Ciliated cell,"ACAD11,AGBL5,AGR3,AHSA1,AK1,AKAP14,ALDH3A1,ALDH3B1,ALDH9A1,AMZ2,ANG,ANKRD37,ANKRD65,ANKRD66,AP3M2,APOBEC4,APOO,ARHGAP39,ARL3,ARMC4,ATF3,ATPIF1,AZIN1,B3GNT7,B9D1,B9D2,BASP1,BBS9,BSCL2,BTBD3,C10orf107,C11orf49,C11orf52,C11orf88,C11orf97,C12orf75,C14orf142,C15orf26,C16orf71,C17orf97,C1orf189,C1orf192,C1orf194,C20orf26,C20orf85,C21orf59,C2orf40,C2orf81,C4orf3,C5orf15,C5orf49,C9orf116,C9orf135,C9orf171,C9orf24,C9orf9,CALM1,CALML4,CAPS,CAPSL,CARS,CASC1,CAST,CBY1,CCDC103,CCDC104,CCDC11,CCDC170,CCDC176,CCDC181,CCDC33,CCDC42B,CCDC60,CCDC65,CCDC74B,CCDC81,CCL15,CD59,CETN2,CIB1,CKB,CRIP1,CST6,CTBS,CTF1,CTGF,CTSS,CTXN1,CWH43,CYB561A3,CYGB,CYP4B1,CYSTM1,DALRD3,DAW1,DMKN,DNAAF3,DNAJB2,DNAL4,DNPH1,DPCD,DRC1,DYNC2LI1,DYNLL1,DYNLRB2,DYNLT1,EBNA1BP2,EEF2K,EFCAB10,EFHC2,ENDOG,ENKUR,ENPP5,ERF,ERICH2,ERICH5,EZR,FAM104B,FAM154B,FAM166B,FAM174A,FAM183A,FAM216B,FAM229B,FAM81B,FAM92B,FBXO15,FBXW9,FOCAD,FUZ,FXYD3,GALC,GJA9-MYCBP,GPR162,GPX4,GRAMD2,H2AFJ,HBB,HEATR2,HIPK1,HIST1H1C,HIST1H2BD,HIST2H2AA3,HIST2H2AA4,HMGN3,HN1L,HNRNPUL2-BSCL2,HRASLS2,HS3ST6,HSP90AA1,HSPB2-C11orf52,HSPBP1,IFI27,IFT22,IFT43,IFT46,IFT52,IFT57,IGFBP7,IK,INO80B,IQCE,IQCG,IQCH,IQCK,ISCA2,JOSD2,KCNE1,KCNRG,KIF19,KIF9,KLHDC9,KLHL13,LAP3,LINC00094,LOC158960,LOC388780,LOC644172,LOC645638,LOC728392,LRRC10B,LRRC23,LRRC34,LRRC45,LRRC46,LRRC6,LRRC73,LRWD1,LXN,LYPLA2,LYPLA2P2,MAPK8IP1,MAPRE3,MGMT,MIA,MLF1,MORN2,MORN5,MSRB1,MTSS1L,MYCBP,NAT14,NHLRC4,NME5,NME7,NPHP3-ACAD11,NQO1,NSMCE1,ODF3B,ORMDL2,PACRG,PAIP2,PIFO,PIH1D2,PIH1D3,PITPNM1,PLA2G16,PLAC8,PLEKHB1,PNMA1,POLR2I,PPIL6,PPP1R14C,PPP1R7,PRDX1,PRDX5,PRKAR1A,PRPS1,PSCA,PSENEN,PSMB10,PTPLAD2,RBKS,RHPN2,RIIAD1,RITA1,ROPN1L,RPA3,RRAD,RRAGA,RSPH1,RSPH4A,RTDR1,RTP4,RUVBL1,RUVBL2,SAA2,SAA2-SAA4,SAA3P,SAA4,SCGB2A1,SDHC,SLAIN2,SMIM22,SMYD2,SNTN,SOD1,SPA17,SPAG16,SPAG6,SPC25,SRI,SSB,STMND1,STOML3,STX2,STYXL1,TCTEX1D2,TCTEX1D4,TCTN1,TEKT1,TM4SF19-TCTEX1D2,TM9SF1,TMEM107,TMEM190,TMEM231,TMEM254,TOMM34,TP53TG1,TPPP,TPPP3,TRIM32,TSPAN1,TSPAN19,TSTD1,TTC25,TUBA1A,TUBA4B,TUBB4B,UCP2,UFC1,UGDH,ULK4,UNC119B,VIM,VRK3,VWA3B,VWA5A,WBSCR27,WDR16,WDR38,WDR54,WDR66,WDR78,WDR86-AS1,WRB,ZBED5-AS1,ZDHHC1,ZMYND12,ZNF688,ZNHIT2",Lung
2758,Brush cell (Tuft cell),"ACADSB,ACSL4,ADA,ADAM10,AEN,AFAP1,AHCY,ALPL,ANXA1,ANXA4,ASCL1,ASCL2,ATP11C,AZGP1,CCNJ,COLCA2,CPE,CRYM,DIP2B,EPB41L4A-AS1,FAM117B,FBRSL1,FGF1,FMNL2,FOXK2,FRAT2,GRAMD1A,GYS2,HDAC2,HES6,HOMER3,HOTAIRM1,HOXA1,HSPD1,ID2,IL1B,IL23A,INPP5B,KCNN3,KDM6B,KYNU,LFNG,LOC101927318,LOC644961,LRMP,MAFF,MIAT,MLLT11,MYC,NAV1,NDC1,NFATC3,NIFK,NIP7,NKX3-1,NONO,NOS2,NREP,ODC1,PDXP,POU2F3,PPP1R14B,PRDM1,RAD51L3-RFFL,RAPGEF5,RASSF6,RCOR1,RFFL,RNF183,RTCB,SH3BP4,SKAP2,SLC16A1,SNHG1,SORL1,SOX4,SPTSSB,TMEM185B,TOMM20,TSN,TUBB2B,TUBB3,XPO5,YBX1",Lung
2759,Neuroendocrine cell,"ACADSB,ACSL4,ADA,ADAM10,AEN,AFAP1,AHCY,ALPL,ANXA1,ANXA4,ASCL1,ASCL2,ATP11C,AZGP1,CCNJ,COLCA2,CPE,CRYM,DIP2B,EPB41L4A-AS1,FAM117B,FBRSL1,FGF1,FMNL2,FOXK2,FRAT2,GRAMD1A,GYS2,HDAC2,HES6,HOMER3,HOTAIRM1,HOXA1,HSPD1,ID2,IL1B,IL23A,INPP5B,KCNN3,KDM6B,KYNU,LFNG,LOC101927318,LOC644961,LRMP,MAFF,MIAT,MLLT11,MYC,NAV1,NDC1,NFATC3,NIFK,NIP7,NKX3-1,NONO,NOS2,NREP,ODC1,PDXP,POU2F3,PPP1R14B,PRDM1,RAD51L3-RFFL,RAPGEF5,RASSF6,RCOR1,RFFL,RNF183,RTCB,SH3BP4,SKAP2,SLC16A1,SNHG1,SORL1,SOX4,SPTSSB,TMEM185B,TOMM20,TSN,TUBB2B,TUBB3,XPO5,YBX1",Lung
2760,Ionocyte cell,"ACADS,ACP1,ACSL1,ACVR1,ADM,AGPAT2,AIFM1,AKAP2,AKAP7,AKIP1,AKIRIN1,AKR1B1,AMACR,ANGEL2,ANK2,ANKRD6,ANKRD9,APLP2,APP,ARL4A,ARL6IP5,ASCL3,ATL2,ATP11A,ATP1A1,ATP6V0A4,ATP6V0B,ATP6V0C,ATP6V0CP3,ATP6V0D2,ATP6V1A,ATP6V1B1,ATP6V1C2,ATP6V1F,ATP6V1G3,ATP7A,AXIN1,BCL2,BCOR,BCR,BFAR,BIK,BMF,BPIFA2,BRPF1,BSND,C11orf68,C1D,C1QTNF3-AMACR,C9orf152,CA12,CALML3,CAMK2B,CBR3,CCDC107,CCDC132,CCDC85C,CCNJL,CD164,CD9,CDA,CDKN1B,CELF2,CFTR,CGNL1,CHST15,CLCN3,CLCNKA,CLCNKB,CLGN,CMAHP,CNN3,CORO7,COX5B,COX6B2,COX7B,CSPG5,CYP51A1,DARS,DDAH2,DHRS7,DMRT2,DOCK11,DOCK4,DOCK6,DUSP6,EFHD1,EIF2AK3,EIF4E2,EPCAM,ETS1,FAM114A1,FAM120AOS,FAM127B,FAM174B,FAM195A,FAM210B,FAM43A,FAM89B,FASTKD2,FBXO32,FOPNL,FOXI1,FOXP1,FRYL,FXYD2,FXYD6,FXYD6-FXYD2,GABARAPL1,GADD45G,GAREM,GBAS,GLIDR,GNA11,GOLM1,GPD1L,GPR116,GPR160,GPRC5B,GRPEL2,GYG1,H1F0,H3F3B,HDAC4,HEPACAM2,HILPDA,HPCAL1,ID3,ID4,IGF1,IGFBP5,IMPA2,INO80,INPPL1,IQGAP2,IRF2BPL,ITPKB,ITPR2,JADE1,JAM3,KCNH1,KCNMA1,KHDRBS3,KIAA1598,KIDINS220,KLC1,KLHL23,KRT18,KRT7,KRT8,KRT80,LBH,LDOC1L,LEF1,LGR4,LIMA1,LINC01187,LRRC42,LTBP2,MAF,MAN2A1,MAOA,MEF2D,MEGF9,METTL13,MGAT5,MIEF1,MPC1,MRFAP1L1,MRPL34,MRPS26,MTHFD1L,MYO6,NCALD,NCKAP5,NDST1,NDUFA4,NEDD4L,NEURL1,NGFR,NRIP3,NT5C,NT5DC3,NUDT16L1,OSBPL1A,PALM2-AKAP2,PCBP4,PDE1C,PDK3,PHB,PHF23,PHOSPHO2-KLHL23,PI4KB,PKIB,PLCB4,PLCG2,PLEKHF2,PLEKHG3,PLXDC2,POSTN,PPARGC1A,PPP1R12B,PPP1R18,PPP2CA,PPP2R3A,PRDM4,PRKAG2,PRPF38A,PSD3,PSEN2,PTAFR,PTGFRN,PTK2,PXDN,PYGB,PYGO2,QSOX1,RAB37,RAD51C,RALA,RARRES2,RBMXL1,RCAN2,RECQL,REPIN1,RERG,RET,RFK,RGMA,RNF34,RPS6KC1,RRM2B,SAV1,SC5D,SCARB2,SCG2,SCNN1B,SDC2,SEC11C,SEC23B,SEMA3C,SERTAD4-AS1,SH3GLB1,SHISA2,SIRT2,SLC12A2,SLC14A1,SLC25A23,SLC29A1,SLC2A12,SLC35F3,SLC9A7,SMAP1,SMARCB1,SMOC1,SNTB1,SP110,SSFA2,ST14,STAC2,STAP1,SUCLG1,SULT1C2,SVIL,SYT7,TBC1D1,TBC1D14,TBC1D2B,TBC1D4,TBC1D9,TFCP2L1,TFG,TFPI,TGFB3,TGFBR2,THBS1,TMEM160,TMEM51,TMEM61,TMPRSS11E,TMPRSS13,TMSB4X,TMTC3,TMUB1,TPD52,TPM1,TRIM47,TRIM8,TSPAN14,TSSC1,TWSG1,UBE2MP1,UBXN2B,UHRF1BP1L,UNC5B-AS1,USF2,USP53,UST,VBP1,VEGFB,VGLL4,WDR1,WLS,YTHDC1,ZDHHC3,ZNF410,ZNF493,ZNF704",Lung
2761,FOXN4+ cell,"ACTL6A,ACTN1,ADAM15,ALDOA,AMD1,ARL4C,ARNTL2,BAMBI,BTG3,CARHSP1,CASP3,CCNO,CDC20B,CDK1,CDK2AP2,CDKN2A,CDT1,CENPM,CHCHD2,CHORDC1,DBF4,DGCR6,DHFR,DPY19L1,E2F7,E2F8,EIF2S2,ENO1,FOXJ1,FOXN4,GADD45B,GGH,GSKIP,HELLS,HYLS1,INSIG1,ISYNA1,KDELC2,KIAA0895,LAYN,LCK,LRRC26,LYZ,MAZ,MCIDAS,MYCL,NEK2,NETO2,NOP16,OAT,PAQR4,PCSK6,PIGW,PLK4,POLR2L,PPM1G,PRPS2,PSIP1,PSMC3,PTGES3,PTMA,PTPLAD1,RANBP1,RB1,RCC2,RTTN,SLFN11,SNRPG,STIL,TACC1,TAF11,TCF19,TM7SF3,TMEM106C,TTC30A,TYMS,UBE2T,USP13,WDR61,WHSC1,YWHAH",Lung
2762,SLC16A7+ cell,"AAK1,AARD,AASDH,ABCA13,ABCA5,ABCA9,ABCC13,ABCC6,ABCC9,ABCF3,ABHD15,ABI2,ABL2,ACBD7,ACER3,ACIN1,ACKR4,ACSL6,ACSS3,ADAM17,ADAMTS2,ADAR,ADAT1,ADCY1,ADGB,ADPRHL2,ADRBK2,AGAP6,AGBL2,AGER,AGMAT,AHSA2,AIPL1,AIRE,AK3,AKAP8,AKAP9,AKR1D1,ALG1,ALKBH4,ALPK1,ALS2,ANAPC4,ANGPT2,ANKIB1,ANKK1,ANKLE1,ANKRD11,ANKRD16,ANKRD18A,ANKRD20A9P,ANKRD30BP2,ANKRD36,ANKRD36B,ANKRD45,ANKRD62,ANKS6,ANP32A-IT1,AOC4P,AP1S3,AP4B1-AS1,AP4S1,AP5B1,APOC1P1,APOL6,APOPT1,ARAP1,ARFIP2,ARGFX,ARGLU1,ARHGAP32,ARHGAP8,ARHGEF26-AS1,ARHGEF4,ARID4B,ARIH2OS,ARL11,ARL16,ARL17A,ARMC9,ARPC4-TTLL3,ARRDC3-AS1,ASB11,ASB16-AS1,ATAD3C,ATCAY,ATG14,ATG16L2,ATM,ATP5S,ATP8B4,ATR,ATRN,B3GNT6,BAIAP2-AS1,BCL2L15,BEST4,BHMT2,BIN3,BIN3-IT1,BIRC6,BIVM,BLZF1,BMPR2,BMS1P5,BRIP1,BSN-AS2,BTAF1,BTBD7,BTBD9,BTD,BTN2A3P,BTN3A2,BZRAP1,C10orf32,C11orf63,C12orf5,C14orf105,C14orf132,C14orf159,C14orf182,C14orf23,C15orf40,C15orf57,C16orf52,C17orf75,C18orf61,C19orf40,C19orf66,C1orf228,C1QTNF2,C21orf2,C21orf58,C21orf62,C22orf29,C2orf15,C2orf91,C3orf62,C4orf19,C4orf29,C4orf47,C5AR1,C5orf28,C5orf42,C5orf45,C5orf55,C7orf55,C7orf63,C7orf65,C8orf31,C8orf44,C8orf44-SGK3,C9orf117,C9orf139,C9orf3,CABP4,CACNG8,CAMK1D,CAPN10-AS1,CAPRIN2,CAPS2,CARF,CARKD,CASD1,CATSPER2P1,CCAR1,CCBE1,CCDC114,CCDC125,CCDC142,CCDC144B,CCDC30,CCDC37,CCDC40,CCDC66,CCDC84,CCDC88C,CCL5,CCNL1,CCNL2,CCR6,CD3EAP,CD82,CD84,CD96,CDC14B,CDH23,CDHR3,CDK5RAP1,CDK5RAP3,CDKN2B-AS1,CEACAM22P,CEACAM5,CEP104,CEP162,CEP164,CEP19,CEP290,CEP85L,CERS5,CFD,CFLAR,CHDH,CHRNB1,CHST12,CHST5,CHURC1,CLASRP,CLDN16,CLDN19,CLEC4GP1,CLHC1,CLK1,CLK4,CLMN,CLMP,CLN8,CLUAP1,CMBL,CNTN3,CNTRL,CNTROB,COA7,COL21A1,COL7A1,COMMD2,COX18,COX19,CPM,CPT2,CREBZF,CRIPAK,CROCC,CRX,CSAD,CSRP3,CSTF3,CTBP1-AS,CTH,CTNS,CUL9,CWC25,CXCR2,CXorf21,CXorf30,CXorf36,CYB561,CYB5D2,CYB5RL,CYP20A1,CYP4F12,DAK,DBIL5P2,DBT,DCAF10,DCAF16,DCDC5,DCP1A,DCTN5,DCUN1D2,DDX17,DDX26B,DDX3Y,DDX5,DDX51,DDX55,DENND5B,DESI1,DFFA,DGKE,DIAPH2,DIP2A,DIP2C,DIS3L,DLEC1,DLEU1,DLGAP1-AS2,DMBT1P1,DMBX1,DMC1,DMTF1,DNAAF1,DNAAF2,DNAH1,DNAH11,DNAH12,DNAH2,DNAH3,DNAH5,DNAH7,DNAJC22,DNASE1,DNASE2,DNM1P46,DNMBP,DNMBP-AS1,DOC2A,DOPEY1,DPH7,DPP9,DPY19L2P2,DSC1,DSEL,DSTYK,DUXA,DYNC1LI2,DYNC2H1,DZANK1,DZIP1L,ECHDC2,EFCAB11,EFCAB5,EFHC1,EGFEM1P,EHBP1L1,ELMOD1,ELMOD3,EMC3-AS1,EMCN,EMR4P,ENGASE,ENO2,ENTPD4,EPS8L2,ERAP2,ERC1,ERCC6L2,ERVK13-1,ERVV-1,EVI5L,EXD3,EXO5,EXOC1,EXOC3L2,EXOG,F5,FAAH2,FADS6,FAHD1,FAM106A,FAM111A,FAM111B,FAM126B,FAM133B,FAM153C,FAM160A2,FAM161A,FAM179A,FAM184B,FAM208B,FAM212B,FAM217B,FAM219B,FAM221A,FAM227A,FAM230B,FAM63B,FAM71F2,FAM73A,FAM74A3,FAM76A,FAM83E,FAM95C,FANCD2,FANK1,FBLIM1,FBXL13,FBXL18,FBXL19-AS1,FBXL20,FBXO48,FBXO6,FCAR,FDPSP2,FGD5P1,FGFR1OP,FGFR2,FILIP1,FKBP14,FKBP1AP1,FLJ30403,FLJ31104,FLJ42102,FLJ42627,FLJ45079,FLVCR1,FMN1,FNBP1,FNBP4,FRAS1,FRMD6-AS1,FRY-AS1,FSD2,FUT2,FUT6,FXN,GABPB1-AS1,GABRB3,GALM,GALNT6,GAMT,GAS7,GBP4,GCAT,GDAP1L1,GDPD1,GEMIN8,GFOD2,GGA1,GGPS1,GGT8P,GJD4,GK5,GLB1L,GMEB1,GNB4,GNB5,GNE,GNRHR2,GOLGA2,GOLGA2P5,GOLGA6L10,GOLGA6L4,GOLGA6L9,GOLGA8A,GON4L,GOPC,GP2,GPATCH2,GPR155,GPR82,GRAMD1B,GREB1,GRTP1,GSDMB,GSG1,GSTM3,GSTTP2,GTF2F1,GTF2H2,GTF2H2B,GTF2H3,GTF2H5,GTPBP10,GUCA1B,GUSBP3,H1FX-AS1,HAUS3,HCAR1,HCG11,HEATR3,HECTD4,HERC2P2,HERC2P9,HHLA3,HIATL2,HIP1,HIPK1-AS1,HKR1,HLA-J,HLTF,HNF1A-AS1,HNRNPU-AS1,HSCB,HSH2D,HSPA4L,HTATSF1P2,IBA57,ICA1L,IDO1,IFI44L,IFT80,IGF2BP2,IGSF9,IKBIP,IKBKB,IKZF2,IKZF3,IKZF4,IL10,IL10RB,IL17RA,IL17RE,IL23R,IL27RA,IL6R,ILF3-AS1,INE1,INE2,INGX,INTU,IP6K1,IPO5P1,IPP,ISG20L2,ISPD,ITGAL,ITIH5,ITPK1-AS1,ITSN1,JAM2,JMJD6,JMJD7,JPX,KANK4,KANSL1L,KAT2A,KATNAL1,KBTBD6,KCMF1,KCNA7,KCNH6,KCNJ14,KCNJ3,KCNJ5,KCNQ1OT1,KCP,KDM3A,KDM4A-AS1,KDSR,KIAA0101,KIAA0226,KIAA0319,KIAA0408,KIAA0753,KIAA0895L,KIAA0907,KIAA1033,KIAA1244,KIAA1377,KIAA1429,KIAA1456,KIAA1614,KIAA1656,KIAA1715,KIAA1751,KIAA1919,KIF1B,KIR3DX1,KLHL22,KNG1,KPNA6,KRBA2,KREMEN1,L1TD1,L2HGDH,LACTB,LAIR1,LAMA5,LARS,LAX1,LDB3,LENG8,LEP,LEPR,LEPREL4,LIAS,LILRA5,LILRB1,LILRB3,LIMD1,LIMS3,LIMS3L,LIN52,LINC00311,LINC00476,LINC00483,LINC00574,LINC00696,LMOD3,LONP2,LPAL2,LPIN1,LPP,LRAT,LRRC2,LRRC27,LRRC36,LRRC57,LRRC58,LRRC8B,LYRM7,MAB21L3,MACC1,MAFK,MAGEB10,MAGI3,MALAT1,MAN1B1-AS1,MANEAL,MAP3K3,MAP3K6,MAP3K9,MAP4K1,MAPK10,MAPK8IP3,MARVELD3,MAT1A,MAVS,MBD4,MBOAT2,MCAM,MCHR2,MCPH1,MCTS1,MCU,MDGA1,MDH1B,MDM4,MED15P9,MED18,MED29,MEFV,METTL16,METTL17,METTL21A,METTL2A,METTL2B,METTL6,METTL8,MFAP5,MFHAS1,MFSD11,MFSD8,MFSD9,MGAT4A,MGC16275,MICAL3,MID1,MINOS1P1,MIR17HG,MIRLET7BHG,MKRN2OS,MLLT10,MLLT4,MLLT4-AS1,MLPH,MMAA,MMACHC,MOCS3,MOG,MOGAT3,MOK,MOV10,MPPED2,MR1,MRI1,MS4A2,MSL1,MSRB3,MTA1,MTAP,MTG2,MTHFR,MTMR9,MTX3,MYCNOS,MYEF2,MYLK3,MYO19,MYO1F,MYO3B,MYO5A,MYSM1,MZF1,N4BP2,N4BP2L2,NAA40,NABP2,NAPEPLD,NCR3LG1,NCRUPAR,NEAT1,NEIL1,NEK11,NEK3,NEK8,NFAT5,NFATC2IP,NFKBIB,NFS1,NFYC-AS1,NIF3L1,NIPAL1,NKD1,NLN,NLRP12,NME6,NMNAT1,NMRK1,NOL9,NOM1,NOS1,NOX4,NPHP3,NPIPA2,NPIPA5,NPIPB3,NPIPB5,NPIPB6,NPIPB9,NPTN-IT1,NPTXR,NR2C1,NSUN6,NSUN7,NUMBL,NUP50-AS1,NXF2,NXF2B,NXNL1,NXPE3,NYAP2,OCLN,ODF2L,OLAH,OMA1,OPA3,OPHN1,ORAI2,ORC4,OSER1-AS1,OVGP1,P2RX7,PABPC1L,PABPC1P2,PAFAH1B2,PALM2,PANK2,PAPL,PARK2,PAXBP1,PBOV1,PBX4,PCDH11X,PCDH11Y,PCED1B-AS1,PCMTD1,PCSK5,PDCD7,PDDC1,PDE2A,PDE4C,PDE6A,PDP2,PDPR,PDXDC2P,PEX26,PGP,PHACTR4,PHIP,PHKG1,PHKG2,PHYKPL,PIGM,PIGO,PIGU,PIGX,PIK3C2A,PILRB,PINK1-AS,PIPOX,PIWIL2,PKD1,PLA2G6,PLA2G7,PLEKHA5,PLEKHG4B,PLEKHG6,PLEKHG7,PLXDC1,PLXNB1,PMS1,PNMAL1,PNPLA6,PNPLA7,PNPT1,POFUT2,POLH,POM121,POM121L8P,POU5F1,PPM1B,PPOX,PPP1R3B,PQLC2,PRELID2,PRELP,PRKAA1,PRKD2,PRKX,PRKXP1,PRORY,PRR11,PRR5-ARHGAP8,PRRT3,PRSS12,PTAR1,PTK6,PTPN14,PTPN2,PURB,PWARSN,PXMP4,PYCRL,QPCTL,QPRT,QRFPR,QRSL1,RAB17,RAB27A,RAB42,RABGGTA,RAD51-AS1,RAD9A,RALGDS,RAMP2-AS1,RASA3,RASEF,RASSF8,RAX2,RBBP5,RBM25,RBM34,RBM41,RBM6,RBMS2,RC3H1,RFC2,RFPL1S,RIMKLA,RINL,RNASEH1,RNASEH1-AS1,RND2,RNF139-AS1,RNF14,RNF149,RNF170,RNF207,RNF41,RNPC3,ROR1-AS1,RP1,RPL21P44,RPL7L1,RPLP0P2,RPUSD2,RRP7A,RRP7B,RSAD2,RSRP1,S1PR3,SAMD4B,SAMD7,SART1,SBNO1,SCAF11,SCAND2P,SCAP,SCIMP,SCIN,SCN11A,SCN2B,SCNN1D,SEC14L4,SEC22C,SEMA3E,SEMA4F,SEMA5A,SENP7,SETD1B,SETD4,SFSWAP,SGK3,SGK494,SGOL1,SGSM1,SGTB,SH3D19,SHCBP1,SHE,SHISA9,SHROOM1,SHROOM4,SIAH3,SIDT1,SIGLEC11,SIGLEC16,SIRPB2,SKIV2L,SLAMF6,SLC12A6,SLC14A2,SLC16A7,SLC22A5,SLC22A9,SLC25A15,SLC25A29,SLC25A36,SLC28A2,SLC29A3,SLC2A11,SLC2A3,SLC31A1,SLC35B4,SLC35E1,SLC35E2,SLC37A3,SLC45A2,SLC4A1,SLC4A8,SLC50A1,SLC6A20,SLC6A4,SLC7A11-AS1,SLC7A14,SLC7A5P2,SLC7A6,SLC9A7P1,SLFN13,SMA5,SMCR5,SMG1,SMG7-AS1,SMIM11,SMYD4,SNAP29,SNAPC1,SNAPC4,SNHG12,SNHG21,SNHG7,SNX29,SOGA3,SPAG17,SPATS2,SPEF2,SPG20,SPG7,SPN,SPRYD7,SPTAN1,SRCAP,SRCIN1,SREK1,SREK1IP1,SRFBP1,SRGAP3,SRSF11,SSH1,SSTR2,ST6GAL2,STAG3L5P-PVRIG2P-PILRB,STAT2,STAU2-AS1,STK33,STK36,STOML1,STX16,STXBP4,SUGP2,SUV39H2,SVOPL,SYNE1,SYNGAP1,SYNPO2L,SYNRG,TADA2B,TAF1,TAF1A,TAF8,TAP2,TARBP1,TARS2,TBC1D3,TBC1D32,TBC1D8,TCEANC2,TCEB1,TCF7,TCTEX1D1,TDP1,TDRD3,TECPR1,TEKT4P2,TFDP2,THEM4,THUMPD3-AS1,TIA1,TIGD1,TIRAP,TLCD2,TLDC1,TLK2,TLR10,TLR7,TMC5,TMEM120B,TMEM156,TMEM168,TMEM17,TMEM198B,TMEM212,TMEM236,TMEM254-AS1,TMEM67,TMIGD2,TMPRSS11B,TMPRSS7,TNFRSF10B,TNFRSF25,TNFRSF9,TNFSF15,TNIP3,TNRC6A,TNRC6B,TONSL,TOP3A,TPT1-AS1,TPTE2P1,TRAF3IP2,TRAF6,TRIM3,TRIM41,TRIM52,TRIM52-AS1,TRIM58,TRIM65,TRIM72,TRIP11,TRIP13,TRMU,TRPM7,TSC22D1-AS1,TSHZ2,TSIX,TSNARE1,TSPYL4,TSR1,TSTD3,TTC12,TTC14,TTC18,TTC23,TTC40,TTLL3,TTPAL,TUBA3FP,TUBD1,TUBGCP4,TXLNGY,TYW5,UBE2G2,UBE2Q2P1,UBIAD1,UBN2,UBOX5,UCKL1-AS1,UGDH-AS1,UGGT1,UGT2B15,UNKL,USP2,USP28,USP34,USP40,USP43,USP49,USP54,UTP23,UTRN,UVSSA,VN1R10P,VNN1,VNN3,VPS11,VPS13A,VPS13B,VPS33A,VPS39,VPS53,VSIG1,VSTM4,VWA3A,VWDE,WDPCP,WDR17,WDR27,WDR45,WDR52,WDR73,WDR92,WDR93,WSB1,WWOX,XAF1,XIAP,XPA,XPC,XRCC2,XRN1,YARS2,YEATS2,ZBBX,ZBP1,ZBTB11-AS1,ZBTB8A,ZC3H12D,ZC3H3,ZC3H6,ZCWPW1,ZDHHC15,ZDHHC21,ZFP14,ZFYVE16,ZFYVE27,ZKSCAN1,ZMAT3,ZMYM5,ZNF106,ZNF114,ZNF124,ZNF135,ZNF154,ZNF169,ZNF23,ZNF234,ZNF250,ZNF251,ZNF264,ZNF273,ZNF277,ZNF3,ZNF302,ZNF316,ZNF320,ZNF321P,ZNF33B,ZNF34,ZNF343,ZNF365,ZNF37A,ZNF398,ZNF417,ZNF426,ZNF429,ZNF440,ZNF445,ZNF454,ZNF461,ZNF483,ZNF514,ZNF519,ZNF526,ZNF549,ZNF551,ZNF554,ZNF555,ZNF556,ZNF561,ZNF563,ZNF587,ZNF606,ZNF621,ZNF625,ZNF655,ZNF665,ZNF669,ZNF692,ZNF696,ZNF713,ZNF714,ZNF716,ZNF728,ZNF737,ZNF749,ZNF761,ZNF763,ZNF766,ZNF773,ZNF785,ZNF791,ZNF793,ZNF816-ZNF321P,ZNF83,ZNF841,ZNF862,ZNF865,ZNRF3-AS1",Lung
2763,Delta cell,SST,Pancreas
2764,Beta cell,INS,Pancreas
2765,Ductal cell,PROM1,Pancreas
2766,Mesenchymal cell,THY1,Pancreas
2767,Acinar cell,PRSS1,Pancreas
2768,Alpha cell,GCG,Pancreas
2769,PP cell,PPY,Pancreas
